pathwayDb	network	module	term	termId	P.hypergeom	P.noncentral	P.hypergeom.bonf	P.noncentral.bonf	P.hypergeom.fdr	P.noncentral.fdr
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	"phosphatidylinositol-3,4,5-trisphosphate binding"	GO:0005547	5.82E-02	4.10E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	"phosphatidylinositol-3,5-bisphosphate binding"	GO:0080025	3.48E-02	2.53E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	phosphatidic acid binding	GO:0070300	3.48E-02	2.72E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	"phosphatidylinositol-3,4-bisphosphate binding"	GO:0043325	4.01E-02	2.53E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	"transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding"	GO:0001205	6.34E-02	4.23E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	core promoter binding	GO:0001047	5.57E-02	3.30E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	ankyrin repeat binding	GO:0071532	1.35E-02	8.03E-03	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	phosphate ion binding	GO:0042301	2.42E-02	3.03E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	"transcription factor activity, RNA polymerase II core promoter sequence-specific"	GO:0000983	5.57E-02	4.35E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	core promoter sequence-specific DNA binding	GO:0001046	2.72E-02	1.35E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	fibroblast growth factor binding	GO:0017134	5.57E-02	4.22E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
go_mf	PPI-InWeb	PPI-InWeb_Consensus_mod283	CARD domain binding	GO:0050700	1.89E-02	1.92E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_GLUTATHIONE_CONJUGATION	NA	3.66E-02	3.27E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	NA	1.03E-03	1.65E-03	1.00E+00	1.00E+00	1.15E-01	1.86E-01
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	NA	3.23E-04	5.61E-04	1.00E+00	1.00E+00	4.19E-02	7.45E-02
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	NA	2.40E-03	4.10E-03	1.00E+00	1.00E+00	2.36E-01	3.96E-01
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_SIGNALING_BY_ILS	NA	2.42E-02	3.41E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_PROLACTIN_RECEPTOR_SIGNALING	NA	2.93E-02	3.68E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_REGULATION_OF_AMPK_ACTIVITY_VIA_LKB1	NA	4.28E-04	1.71E-03	1.00E+00	1.00E+00	5.36E-02	1.91E-01
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	NA	1.55E-02	2.74E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_PKB_MEDIATED_EVENTS	NA	1.75E-03	6.03E-03	1.00E+00	1.00E+00	1.81E-01	5.38E-01
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_PI3K_CASCADE	NA	1.03E-02	2.04E-02	1.00E+00	1.00E+00	7.94E-01	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_SIGNALING_BY_INSULIN_RECEPTOR	NA	2.19E-02	4.93E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	NA	6.56E-04	2.71E-03	1.00E+00	1.00E+00	7.77E-02	2.82E-01
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	NA	7.43E-04	2.44E-03	1.00E+00	1.00E+00	8.68E-02	2.59E-01
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	NA	5.56E-02	4.35E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	NA	4.13E-02	4.30E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	NA	9.31E-04	1.99E-03	1.00E+00	1.00E+00	1.06E-01	2.18E-01
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_P75NTR_SIGNALS_VIA_NFKB	NA	2.93E-02	3.68E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	NA	4.61E-02	5.14E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	NA	2.45E-02	2.74E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	NA	9.72E-03	2.83E-02	1.00E+00	1.00E+00	7.56E-01	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL	NA	2.21E-02	2.47E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY	NA	3.18E-02	4.87E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
msigdb_reactome	PPI-InWeb	PPI-InWeb_Consensus_mod283	REACTOME_NFKB_ACTIVATION_THROUGH_FADD_RIP1_PATHWAY_MEDIATED_BY_CASPASE_8_AND10	NA	2.69E-02	4.60E-02	1.00E+00	1.00E+00	1.00E+00	1.00E+00
